MACR-Nr,Air Force,Flgzg.Typ,Flgzg. Kennnr.,Flugzeugname,Bomber Group,Squadron,Crew,Datum,Absturzursache,Uhrzeit Absturz,Angriffsziel,Letzte Sichtung-Koord,Letzte Sichtung-Ort,Absturzort,Absturzort Anmerkungen im Detail,Absturz Land,Bundesland,Vermisstenfall,Aussage Absturz/Schicksal
5460,15th USAAF,B-24H,41-28825,,98,415,Ball,29.05.1944,Jäger,,Wr. Neustadt,"47°55'N, 15°30'E",Türnitz,Melk,St. Leonhard am Forst,Österreich,Niederösterreich,,"Die Maschine wurde von Jägern schwer getroffen und ging in Flammen stehend in den Sturzflug über. Andere Besatzungen sahen, wie eine Person ohne Fallschirm aus der Maschine sprang, die kurz darauf explodierte."
2,15th USAAF,P-51,,,52nd Fighter,5th Fighter,Woods,29.05.1944,Unbekannt,10:00,,,,St. Pölten,St. Pölten,Österreich,Niederösterreich,,
5445,15th USAAF,B-17F,42-30347,,301,419,Phillips,29.05.1944,technischer Fehler,,Wöllersdorf,"47°50'N, 15°00'E",Lunz am See,Übelbach,Übelbach,Österreich,Steiermark,,"Maschine hatte Probleme mit einem Triebwerk, das Feuer gefangen hatte. Das Flugezeug sackte aus der Formation ab und stürzte ab."
5785,15th USAAF,B-24H,42-52677,-,484,827,Haldeman,29.05.1944,Flak,11:00,Wiener Neustadt,,Wiener Neustadt,Pöllau,Pöllau,Österreich,Steiermark,,"Die Maschine erhielt über Wiener Neustadt einen Flaktreffer, schwenkte über die linke Seite aus dem Verband aus und ging mit Feuer im Bombenschacht langsam auf Tiefe. Die anderen Bomberbesatzungen beobachteten, dass die Maschine starken Qualm absonderte, "
5443,15th USAAF,B-24J,42-73416,,98,344,Foster,29.05.1944,Jäger,,Wr. Neustadt,,Wr. Neustadt,Fischbach,Ochsenkogel bei Fischbach,Österreich,Steiermark,,"Die Maschine wurde schwer getroffen, fiel hinter die Formation zurück und stürzte schließlich ab."
5456,15th USAAF,B-24D,42-72892,-,376,515,Mitchell,30.05.1944,Flak,10:30,Pottendorf,"47°50'N, 16°30'N",Eisenstadt,Neusiedlersee,Wittmannshof,Österreich,Burgenland,,Maschine wurde von Flakgeschossen getroffen und sackte aus der Formation in Richtung Neusiedlersee ab.
205004,RAF,Wellington,LN318,,205 RAF,142,Keene,30.05.1944,Nachtjäger,00:30,Feuersbrunn,,,St. Pölten,Hofstetten,Österreich,Niederösterreich,,"Die Maschine wurde beim Angriff auf Feuersbrunn von einem Nachtjäger (Ofw Ludwig, NJG 101) abgeschossen. Die Besatzung sprang mit dem Fallschirm ab."
5454,15th USAAF,B-24H,42-94949,-,455,741,Fetty,30.05.1944,Bomben anderer Flugzeuge,10:45,Wels,"48°10'N, 14°01'E",Wels,Wels,Puchberg bei Wels,Österreich,Oberösterreich,,"Die Maschine wurde von Bomben der darüberfliegenden Flugzeuge getroffen und begann zu brennen. Sie stürzte nahezu sofort ab und explodierte am Boden. Ein Großteil der Besatzung starb dabei - mehrere Leichen waren so stark verbrannt, dass sie nicht mehr id"
5636,15th USAAF,P-51,43-24816,-,52nd Fighter,2nd Fighter,Alexander,30.05.1944,Unbekannt,,Wels,,östlich Enns,Auckental bei Aschach,Auckental bei Aschach,Österreich,Oberösterreich,,Die Maschine befand sich auf einer Bomberbegleitmission und jagte einer Me109 hinterher. Er wurde nicht mehr gesehen.
5782,15th USAAF,B-24G,42-78177,,459,759,Ferguson,09.06.1944,Flak,,München-Neubiberg,"47°50'N, 12°30'E",Deutschland,Salzburg,Maxglanerbrücke,Österreich,Salzburg,,"Die Maschine hatte Probleme über dem Ziel und fiel aus der Formation zurück. Jäger und Flak trafen das Flugzeug dann so stark, dass es in Brand geriet und in der Luft explodierte. Der Pilot stürzte mit der Maschine ab. Seine Leiche wurde später im Wrack g"
6314,15th USAAF,B-24H,42-52140,,449,716,Collins,09.06.1944,Flak,,Porto Marghera (I),"47°55'N, 12°30'E",Deutschland,Koralpe,Höllgraben,Österreich,Steiermark,,"Die Maschine fiel beim Angriff auf das Ausweichziel hinter die Formation zurück. Das Führungsflugzeug konnte die Geschwindigkeit des Verbandes nicht mehr verlangsamen, daher scherte der Pilot aus und versuchte alleine Richtung Süden zu fliegen. Über der K"
6179,15th USAAF,B-24H,42-52318,-,459,757,McManus,09.06.1944,Jäger,09:19,München,"46°00'N, 12°40'E",Italien,Lienz,"Thurn, nördlich Lienz",Österreich,Tirol,,Maschine wurde im Anflug über den norditalienischen Alpen von deutschen Me109-Jägern angegriffen. In 2 Anflügen gelang es den Jägern das dritte Triebwerk in Brand zu schießen. Die Maschine sackte sofort aus der Formation ab. Es gelang noch das Feuer zu lö
6042,15th USAAF,B-24H,41-28782,,485,829,White,09.06.1944,Flak und Jäger,,München,,München,Telfs,Telfs,Österreich,Tirol,,Die Maschine wurde von Flak und Jäger abgeschossen und brannte am Boden aus. Die gesamte Besatzung konnte sich retten.
5783,15th USAAF,B-24G,42-78106,,459,758,Oleson,09.06.1944,Flak,11:35,München,,München,Bregenz,Flugplatz Gaißau / Rheinau-Höchst,Österreich,Vorarlberg,,"Die Maschine wurde von Flakgeschossen getroffen und der Pilot musste 2 Triebwerke ausschalten. Da er hinter die Formation zurückgefallen war, trennte er sich von dieser und versuchte in die Schweiz zu gelangen. Nahe Bregenz musste der Pilot notlanden."
6416,15th USAAF,B-24H,42-52602,,484,825,Quinlan,13.06.1944,Jäger,,München,,München,Innsbruck,Natters bei Innsbruck,Österreich,Tirol,,Die Maschine wurde von Jägern abgeschossen und stürzte zu Boden.
5812,15th USAAF,B-24H,42-64482,,455,742,Massey,13.06.1944,Flak,,München,,München,Hall in Tirol,Hall in Tirol,Österreich,Tirol,,Die Maschine wurde von der Flak abgeschossen.
6321,15th USAAF,B-24H,41-28771,-,459,756,Reed,16.06.1944,technischer Fehler,,Wien,"48°65'N, 17°00'E",CZ,Kittsee-Berg,Kittsee-Berg,Österreich,Burgenland,Vermisste/r,"Die Besatzung des Bombers war ein Mix aus 5 verschiedenen Crews, sodass sich die einzelnen Personen kaum kannten.
Über Wien öffneten sich die Bombentore der Maschine nur kurz und schlossen sich offensichtlich aufgrund eines technischen Fehlers sofort wie"
6033,15th USAAF,B-24H,41-29294,,376,512,Drake,16.06.1944,Jäger,,Bratislava,"48°01'N, 17°20'E",Bratislava,Neusiedlersee,Nickelsdorf-Zurndorf,Österreich,Burgenland,,"Die Maschine wurde getroffen und es brachen Brände an der Tragfläche und im Bombenschacht aus. Der pilot konnte die Maschine für Sekunden horizontal halten. 3 Mann sprangen ab, jedoch öffneten sich die Fallschirme nicht. Die Maschine ging danach in den St"
5815,15th USAAF,B-24G,42-78099,-,455,741,Wurtz,16.06.1944,Flak,10:50,Wien,"48°10'N, 16°20'E",Wien,Himberg,Himberg,Österreich,Niederösterreich,,"Die Maschine erhielt über Wien, nach dem Bombenwurf, einen schweren Flaktreffer, der die Flugzeugnase abtrennte. Die Maschine hielt sich 10 Sekunden in der Luft und raste dann in einem spiralförmigen Sturzflug zu Boden."
6095,15th USAAF,B-24H,41-29508,-,460,761,Smith,16.06.1944,Flak,11:10,Wien,"48°10'N, 16°30'E",Wien,Götzendorf,Götzendorf,Österreich,Niederösterreich,,"Die Maschine wurde von Flak-Geschossen getroffen. Andere Besatzungen sahen, wie im Inneren der Maschine ein Feuer wütete. Teil der Maschine brachen ab oder fielen (gepackte Fallschirme) aus dem offenen Bombenschacht. Nach kurzer Zeit brach der hintere Tei"
6333,15th USAAF,B-17G,42-31701,-,301,352,Gourley,26.06.1944,Flak und Jäger,,Wien,"47°30'N, 16°50'E",Ungarn,Neusiedlersee,Neusiedlersee,Österreich,Burgenland,,"Die Maschine wurde zunächst von Flakgeschossen getroffen und scherte rauchend aus der Formation aus, wo sie dann von mehreren deutschen Me-109 und Me-210 angegriffen wurde. Die gesamte Besatzung konnte die Maschine verlassen bevor diese abstürzte.
Der Ab"
6431,15th USAAF,B-24H,42-51174,-,459,758,Stodden,26.06.1944,Jäger,10:00,Moosbierbaum,,westlich Wien,Klingenbach,Draßburg,Österreich,Burgenland,,Maschine wurde in der Formation von mehreren deutschen Jägern angegriffen. Das 3. Triebwerk fing sofort Feuer und qualmte sehr stark. Der Pilot musste dieses Triebwerk abschalten und fiel daher sehr weit hinter die Formation zurück. Die deutschen Jäger gr
6427,15th USAAF,B-24H,41-28638,,456,746,Gullick,26.06.1944,Jäger,10:15,Moosbierbaum,"48°12'N, 17°18'E",Bratislava,Oberpullendorf,Unterloisdorf,Österreich,Burgenland,,Die Maschine wurde von 2 Jägern attackiert und fiel aus der Formation zurück.
6329,15th USAAF,B-24H,42-94740,,484,825,Porter,26.06.1944,Jäger,,Korneuburg,"48°20'N, 16°24'E",Korneuburg,Schmida bei Tulln,Schmida bei Tulln,Österreich,Niederösterreich,,Maschine wurde zunächst von der Flak getroffen und sackte aus der Formation ab. Kurz darauf griffen mehrere deutsche Me109 an und schossen die Triebwerke in Brand. Die Besatzung wehrte sich und konnte eine Me109 abschießen - jedoch wurden dabei zahlreiche
6956,15th USAAF,B-24H,42-52249,,455,741,Jordan,26.06.1944,Jäger,,Moosbierbaum,"48°20'N, 15°56'E",westlich Tulln,St. Pölten,Böheimkirchen,Österreich,Niederösterreich,,"Maschine wurde von 70 bis 80 deutschen Me109 angegriffen, die die Flugzeugnase und die Tragfläche trafen. Ein Triebwerk wie auch das Innere des Bombers begann zu brennen und die Maschine geriet gänzlich außer Kontrolle. Ein Teil der Besatzung konnte abspr"
6170,15th USAAF,B-24J,44-40091,-,376,513,Hayden,26.06.1944,Flak,10:15,Schwechat,"48°05'N, 16°30'E",Schwechat,Wien,Raasdorf bei Wien,Österreich,Niederösterreich,Vermisste/r,"Maschine wurde über dem Ziel von Flakgeschossen an der rechten Tragfläche getroffen, die zu brennen begann. Das Flugzeug scherte sofort aus der Formation aus, 10 Fallschirme lösten sich und die Maschine stürzte ab."
6174,15th USAAF,B-24H,42-52538,-,460,760,Smith,26.06.1944,Flak,10:15,Floridsdorf,,Raum Wien,Bockfließ,Bockfließ,Österreich,Niederösterreich,,Die Maschine bekam (wahrscheinlich wegen eines Flaktreffers) Probleme mit dem 3. Triebwerk und fiel hinter die Formation zurück. Dort wurde sie von weiteren Flakgeschossen aber auch Jägern getroffen und zerfiel in der Luft. Mehrere Besatzungsmitglieder fi
6342,15th USAAF,B-24H,41-29221,Toni Gayle,450,722,Frink,26.06.1944,technischer Fehler,10:20,Schwechat,"48°15'N, 16°55'E","Marchegg, östlich Wien",Schlosshof-Lassee,Schlosshof-Lassee,Österreich,Niederösterreich,,"Die Maschine musste die Formation über Schwechat verlassen, weil 3 Triebwerke zu rauchen begannen. Kurz darauf waren die ersten Fallschirme zu sehen."
6391,15th USAAF,B-24H,42-95462,-,455,741,Keogh,26.06.1944,Jäger,,Moosbierbaum,"48°20'N, 15°56'E",Zwentendorf,Moosbierbaum,Moosbierbaum,Österreich,Niederösterreich,,Die Maschine wurde über Moosbierbaum von mehreren deutschen FW-190 angegriffen. Die Gunner konnten eine FW-190 treffen und den Piloten töten. Der deutsche Jäger raste jedoch in das 3. und 4. Triebwerk des Bombers - zerstörte diese und riss einen Teil der 
6398,15th USAAF,B-24H,41-28674,-,459,758,Artz,26.06.1944,Flak,,Wien,,Wien,Wien,Laasee,Österreich,Niederösterreich,,"Die Maschine nahm am Angriff auf Ölfelder teil, wo von allen Besatzungen Raketen-Fla-Feuer gemeldet wurde. Aus unerfindlichen Gründen kippte die Maschine aus der Formation, blieb aber stabil (ohne erkennbaren Schaden)."
6401,15th USAAF,B-24H,41-29570,-,455,742,Archibald,26.06.1944,Jäger,10:00,Moosbierbaum,,Moosbierbaum,Bad Vöslau,Weißenbach-Furth,Österreich,Niederösterreich,Vermisste/r,"Maschine wurde von Jägern angriffen, dabei schwer getroffen und fing Feuer. Hachey und Todd wurden dabei schwer verletzt. Teisinger konnte sie aus dem Flugzeug bringen, sicherte jedoch seinen Fallschirm nicht ordnungsgemäß. Als dieser noch Feuer fing fiel"
6402,15th USAAF,B-24H,42-52238,-,455,742,Brown,26.06.1944,Jäger,,Moosbierbaum,,Moosbierbaum,Tulln,Moosbierbaum,Österreich,Niederösterreich,,"1 von 4 Flugzeugen, die beim Angriff auf Moosbierbaum an diesem Tag abstürzten"
6405,15th USAAF,B-24J,42-997771,-,455,742,Montgomery,26.06.1944,Jäger,,Moosbierbaum,,Moosbierbaum,Tulln,Absdorf bei Tulln,Österreich,Niederösterreich,,"Maschine wurde über Moosbierbaum von deutschen Jägern attackiert und schwer getroffen. Beide Tragflächen und der gesamte Rumpf gingen in Flammen auf. Ein Teil der Besatzung versuchte die Flammen zumindest im Inneren zu löschen, mussten jedoch durch den of"
6516,15th USAAF,B-24H,42-52230,-,455,742,Montgomery,26.06.1944,Jäger,,Moosbierbaum,,Moosbierbaum,Tulln,Tulln,Österreich,Niederösterreich,,Maschine wurde von Jägern angriffen und schwer getroffen.
6812,15th USAAF,B-24G,42-78292,-,455,742,Jackson,26.06.1944,Jäger,10:00,Moosbierbaum,,Moosbierbaum,St. Pölten,Michelbach,Österreich,Niederösterreich,,"Die Maschine wurde von deutschen Jägern angegriffen und in Brand geschossen. Einige Besatzungsmitglieder starben sofort, andere wurden so schwer verletzt, dass sie ohne Hilfe das Flugzeug nicht mehr verlassen konnten. Nur 4 Besatzungsmitglieder entkamen d"
6822,15th USAAF,B-24H,41-29491,-,485,828,Bossart,26.06.1944,Flak,,Wien,"16°20'N, 48°05'E",Wiener Neudorf,Preßbaum,Preßbaum,Österreich,Niederösterreich,,"Die Maschine wurde über dem Ziel von Flakgeschossen an der linken Tragfläche getroffen. Diese geriet sofort in Brand und die Maschine sackte aus der Formation ab. Der Pilot konnte die Maschine kurz stabil halten, sodass ein Großteil der Besatzung aussteig"
6432,15th USAAF,B-24H,42-52265,,454,737,Morris,26.06.1944,Jäger,,Moosbierbaum,"48°29'N, 16°22'E",Mistelbach,Puchberg,Puchberg,Österreich,Niederösterreich,,"Die Maschine wurde von Jägern abgeschossen. Als sie aus der Formation absackte, öffneten sich die ersten Fallschirme."
6433,15th USAAF,B-24C,42-78167,,455,720,Lebsock,26.06.1944,Jäger,,St. Pölten,"47°40'N, 15°40'E",Rax,Lilienfeld,Kleinzell,Österreich,Niederösterreich,,"Die Maschine wurde von Jägern angeschossen. Das 1. Triebwerk begann zu brennen und die Flammen griffen rasch um sich. Als der Tank erreicht wurde, kam es zu einer Explosion, die die gesamte Tragfläche abriss. Die Maschine stürzte in hellen Flammen zu Bode"
6434,15th USAAF,B-24H,42-50312,,454,736,Leazer,26.06.1944,Jäger,,Moosbierbaum,"47°40'N, 15°45'E",Rax,Pyhra,Stössing,Österreich,Niederösterreich,,"Die Maschine wurde von Jägern angeschossen (4. Triebwerk) und fiel aus der Formation zurück. Als das Flugzeug alleine war, griffen die Jäger in mehreren Wellen an bis die Maschine in Flammen stand. Ein Teil der Besatzung konnte sich retten.
Die Deutschen"
6455,15th USAAF,B-24H,42-50401,,464,777,Dunn,26.06.1944,Flak,,Floridsdorf,"48°16'N, 16°24'E",Wien,Klosterneuburg,Hadersfeld am Heuberg,Österreich,Niederösterreich,Vermisste/r,"Sekunden nach dem Bombenwurf wurde die Maschine von Flakgeschossen getroffen, die sofort ein Feuer im gesamten Flugzeuginneren auslösten. Die Maschine geriet gänzlich außer Kontrolle und stürzte zu Boden. Nur 2 Besatzungsmitglieder überlebten den Absturz."
6326,15th USAAF,P-51,44-13478,,31st Fighter,307th Fighter,Main,26.06.1944,Unbekannt,,Wien,"48°00'N, 16°35'E",Götzendorf,Gänserndorf bei Wien,Bockfließ,Österreich,Niederösterreich,,"Die Maschine war in einen erfolgreichen Luftkampf mit ME109 verwickelt, wurde danach aber nicht mehr gesehen."
6399,15th USAAF,B-24H,41-28679,Heaven can wait,461,766,Zive,26.06.1944,Jäger,,Korneuburg,,Korneuburg,Dürnkrut,Dürnkrut,Österreich,Niederösterreich,,"Die Maschine hatte technische Probleme und fiel hinter die Formation zurück. Dort warteten mehrere Me210, die die Maschine abschossen."
6404,15th USAAF,B-24H,41-29261,Gargantua,455,742,Sensenbrenner,26.06.1944,Jäger,,Moosbierbaum,,Moosbierbaum,Tulln,Bierbaum bei Tulln,Österreich,Niederösterreich,,Die Maschine wurde über dem Ziel von Jägern attackiert und in Brand geschossen. Die Maschine explodierte noch in der Luft.
6400,15th USAAF,B-24,42-52241,The Rubber Check,455,741,McCarthy,26.06.1944,Jäger,,Moosbierbaum,,,Tulln,Tulln,Österreich,Niederösterreich,,"Das Flugzeug fiel hinter die Formation zurück und wurde von Jägern attackiert. Die Besatzung sprang ab, während das Flugzeug in Flammen zu Boden ging."
6967,15th USAAF,B-24H,42-95300,-,459,757,Henning,26.06.1944,Flak,10:30,Moosbierbaum,"47°20'N, 15°42'E",Birkfeld (Ost-Stmk.),Pöllau,Pöllau,Österreich,Steiermark,,"Die Maschine erhielt Flaktreffer und begann zu brennen. Der Pilot dürfte sie kurz auf Kurs gehalten haben, sodass ein Teil der Besatzung abspringen konnte. Danach ging die Maschine in einen Sturzflug über und explodierte noch in der Luft."
6171,15th USAAF,B-24H,42-52297,-,454,738,Rymer,26.06.1944,Unbekannt,10:00,Moosbierbaum,"47°20'N, 17°28'E",Papa (Ungarn),St. Ruprecht an der Raab,Fünfing,Österreich,Steiermark,,Maschine scherte aus dem Verband aus.
6430,15th USAAF,B-24G,42-78245,-,460,762,Bashor,26.06.1944,Flak und Jäger,10:10,Wien,"48°00'N, 16°00'E",Triestingtal,Hartberg,Zeilerviertel,Österreich,Steiermark,,Die Maschine wurde über Wien von Flak und Jägern getroffen. Eine Tragfläche fing dabei Feuer und brach ab. Die Maschine befand sich in einem Sturzflug. Nur 2 Besatzungsmitglieder konnten sich retten. Die Maschine schlug am Boden auf und explodierte.
6456,15th USAAF,B-24H,42-95451,-,464,777,Carter,26.06.1944,Flak,,Floridsdorf,"47°04'N, 16°02'E",Fürstenfeld,Fürstenfeld,Fürstenfeld,Österreich,Steiermark,,"Die Maschine wurde von Flakgeschossen am Treibstofftank in der Tragfläche getroffen, fing jedoch kein Feuer. Stattdessen strömte der Treibstoff unkontrolliert aus dem Leck. Der Pilot schwenkte die Maschine kurz aus der Formation, öffnete den Bombenschacht"
6177,15th USAAF,B-24H,41-78839,-,460,763,Thompson,26.06.1944,Jäger,10:25,Floridsdorf,,Floridsdorf,Wien,Wien-Essling,Österreich,Wien,,"Thompsons Maschine war Führungsflugzeug einer Box, als diese von deutschen Jagdflugzeugen angegriffen wurde und sich vollständig auf diese Maschine konzentrierten. Das Flugzeug wurde mehrfach schwer getroffen und sackte aus der Formation ab. Thompson scha"
6332,15th USAAF,B-24H,42-28777,-,98,343,Chandler,26.06.1944,Flak,10:15,Schwechat,,Schwechat,Wien,Eßling,Österreich,Wien,,Die Maschine erhielt über Schwechat einen direkten Treffer der Flak und ging sofort in Flammen auf. Eingehüllt in die Flammen und gänzlich außer Kontrolle stürzte die Maschine zu Boden. Dennoch konnten sich Besatzungsmitglieder mittels Fallschirm retten. 
205005,RAF,Wellington,LN191,,205 RAF,150,Horn,30.06.1944,Nachtjäger,00:30,Feuersbrunn,,,Annaberg,Saugraben,Österreich,Niederösterreich,,"Die Maschine wurde von einem Nachtjäger (Oblt Helmuth Schulte, NJG 6) abgeschossen."
6564,15th USAAF,B-17G,42-31470,Old Shep,2,429,Horton,07.07.1944,technischer Fehler,11:00,Blechhammer,"48°37'N, 17°34'E",Slowakei,St. Michael im Burgenland,St. Michael im Burgenland,Österreich,Burgenland,,Die Maschine hatte Schwierigkeiten mit dem 4. Triebwerk. Die Bomben mussten im Notwurf abgeworfen werden und der Pilot dreht das Flugzeug um 180° um zur Basis zurückzukehren. Der Navigator versuchte eine Route zu finden um die Flakgürtel zu umfliegen. Bei
205006,RAF,Wellington,LP195,,205 RAF,40,Collins,07.07.1944,Nachtjäger,01:00,Feuersbrunn,,,St. Pölten,St. Pölten,Österreich,Niederösterreich,,Die Maschine wurde von einem Nachtjäger abgeschossen.
205009,RAF,Wellington,,,205 RAF,70,Vaughan,07.07.1944,Nachtjäger,,Feuersbrunn,,,St. Pölten,St. Pölten,Österreich,Niederösterreich,,Die Maschine wurde von einem Nachtjäger abgeschossen. Die Zusammensetzung der Besatzung wurde aufgrund der Friedhofsberichte ermittelt.
205010,RAF,Wellington,,,205 RAF,70,Harris,07.07.1944,Nachtjäger,,Feuersbrunn,,,St. Pölten,St. Pölten,Österreich,Niederösterreich,,Vermutlich von einem Nachtjäger abgeschossen. Die Besatzung wurde aufgrund von Friedhofsunterlagen zusammengestellt.
205011,RAF,Wellington,,,205 RAF,70,Marquard,07.07.1944,Nachtjäger,,Feuersbrunn,,,St. Pölten,St. Pölten,Österreich,Niederösterreich,,Vermutlich von einem Nachtjäger abgeschossen. Die Besatzung wurde aufgrund von Friedhofsunterlagen zusammengestellt.
205012,RAF,Wellington,,,205 RAF,70,Tilbrook,07.07.1944,Nachtjäger,,Feuersbrunn,,,Schneeberg,Rohr im Gebirge,Österreich,Niederösterreich,,Die Maschine wurde von einem Nachtjäger abgeschossen.
205013,RAF,Wellington,MF241,,205 RAF,37,Keighley,07.07.1944,Nachtjäger,01:20,Feuersbrunn,,,St. Pölten,Unterradlberg,Österreich,Niederösterreich,,"Von einem Nachtjäger (vmtl. Oblt. Kraft, NJG 6) abgeschossen."
205014,RAF,Wellington,,,205 RAF,37,Croydon,07.07.1944,Nachtjäger,,Feuersbrunn,,,Krems,Feuersbrunn,Österreich,Niederösterreich,,Die Maschine wurde vmtl. von einem Nachtjäger abgeschossen.
205015,RAF,Wellington,,,205 RAF,40,Hall,07.07.1944,Unbekannt,,Feuersbrunn,,,St. Pölten,St. Pölten,Österreich,Niederösterreich,,
205016,RAF,Halifax,JP287,,205 RAF,614,Harrison,07.07.1944,Nachtjäger,01:30,Feuersbrunn,,,Schneeberg,"Innerhalbach, Kleinzell",Österreich,Niederösterreich,,Die Maschine wurde von einem Nachtjäger abgeschossen.
205017,RAF,Wellington,LP499,,205 RAF,104,McDonald,07.07.1944,Nachtjäger,,Feuersbrunn,,,Schneeberg,"Trestlgraben, Kleinzell",Österreich,Niederösterreich,,Die Maschine wurde von einem Nachtjäger abgeschossen.
205007,RAF,B-24 III,BZ930/S,,205 RAF,178,Chillingworth,07.07.1944,Nachtjäger,01:00,Feuersbrunn,,,Strallegg,Strallegg,Österreich,Steiermark,,Die Maschine wurde von einem Nachtjäger abgeschossen.
6595,15th USAAF,P-51,44-13472,-,52nd Fighter,4th Fighter,Grewe,08.07.1944,Flak,,Wien,,Wien,Eisenstadt,Stotzing bei Eisenstadt,Österreich,Burgenland,,Die Maschine befand sich mit 45 weiteren US-Jägern auf einer Bomberbegleitmission mit Ziel Floridsdorf. Der Pilot konnte über dem Ziel und beim Erscheinen deutscher Jäger einen Zusatztank nicht lösen. Die Maschine sackt kurz ab und geriet in schweres Flak
7148,15th USAAF,P-38,43-28670,-,14th Fighter,48th Fighter,Martin,08.07.1944,Flak,,Wien,,Wien,Neusiedl am See,Neusiedl am See,Österreich,Burgenland,,"Die Maschine befand sich in einem Dogfight mit Me-109 bis sie von Flakgeschossen getroffen wurde. Der Pilot konnte zwar aussteigen, jedoch öffnete sich der Fallschirm nicht mehr. Die Maschine schlug am Boden auf und explodierte."
6510,15th USAAF,B-24G,42-95281,-,460,762,Eagan,08.07.1944,Flak,11:45,Wien,"48°20'N, 16°30'E",nördlich Wien,Hainburg,Witzelsdorf,Österreich,Niederösterreich,,Die Maschine wurde von Flakgeschossen an der linken Tragfläche getroffen. Die Maschine ging sofort in den Sturzflug über. Einige Besatzungsmitglieder konnten sich per Fallschirm retten.
6587,15th USAAF,B-24H,42-52674,-,485,828,Bearden,08.07.1944,Flak,,Floridsdorf,"48°15'N, 16°24'E",Wien,Gerasdorf,nordöstlich Wien,Österreich,Niederösterreich,,"Die Maschine wurde an einer Tragfläche schwer getroffen. Der Pilot kämpfte um die Maschine wieder in die Formation zu bekommen, doch sie verlor stetig an Höhe."
6807,15th USAAF,P-38,42-104051,-,14th Fighter,48th Fighter,Mitchell,08.07.1944,Unbekannt,,Wien,,Wien,unbekannter Ort,Über NÖ das letzt Mal gesehen,Österreich,Niederösterreich,Vermisste/r,Die Maschine verschwand über dem Ziel spurlos und ist bis heute vermisst.
6819,15th USAAF,B-24H,42-95371,-,464,777,Kibler,08.07.1944,Jäger,10:40,Floridsdorf,"48°00'N, 16°50'E",Baden bei Wien,Hainburg,Bad Deutsch-Altenburg,Österreich,Niederösterreich,,"Die Maschine wurde von Jägern attackiert und in Brand geschossen. Sie stürzte in Flammen gehüllt, spiralförmig zu Boden und explodierte."
6960,15th USAAF,B-24H,42-52549,-,464,779,Varner,08.07.1944,Jäger,11:00,Wien,"48°10'N, 16°45'E",östlich Wien,Wien,Straudorf-Fuchshofen,Österreich,Niederösterreich,,Die Maschine wurde in der Formation schwer von deutschen Jägern attackiert und stark beschädigt. Nach einer gewissen Zeit senkte sich das Flugzeug mit dem Heck zuerst und ging in Rauchschwaden gehüllt im Sturzflug zu Boden.
6816,15th USAAF,B-24H,42-94769,,485,829,Peterson,08.07.1944,Flak,,Floridsdorf,"47°20'N, 17°28'E",Ungarn,Gänserndorf,Deutsch-Wagram Straßhof,Österreich,Niederösterreich,,Die Maschine wurde von Flakgeschossen getroffen. 3 Triebwerke wurden dabei beschädigt und begannen zu rauchen. Die Maschine sackte aus der Formation ab und die gesamte Besatzung konnte sich retten.
7320,15th USAAF,B-17G,42-102916,-,463,774,Bodine,08.07.1944,Flak,11:00,Wien,"48°07'N, 16°28'E",Zwölfaxing,Wien,Wien,Österreich,Wien,,"Die Maschine wurde über Wien von Flakgeschossen getroffen, die die gesamte linke Seite in Flammen aufgehen ließen. Das Flugzeug stürzte sofort ab - Einzelteile brachen dabei ab und das Flugzeug explodierte schlussendlich in der Luft. Nur ein Teil der Besa"
6932,8th USAAF,B-24H,42-52512,,467,789,Sullivan,12.07.1944,Flak,,München,,München,Imst,Obsteig bei Imst,Österreich,Tirol,Vermisste/r,Die Maschine wurde am Bomb-Run von Flakgeschossen schwer getroffen. Der Pilot versucht in Richtung Schweiz zu fliegen. Jedoch musste die Besatzung die Maschine über Imst verlassen. Lund dürfte bei der Landung in einen Fluss gefallen und ertrunken sein. Er
6905,15th USAAF,B-24H,42-95372,-,464,777,Miller,16.07.1944,Jäger,,Wiener Neudorf,"47°50'N, 16°45'E",Neusiedlersee,Tadten,Andau,Österreich,Burgenland,,"Der gesamte Verband wurde von zahlreichen Jägern angegriffen. Die einzelnen Besatzungen waren derart mit der Abwehr befasst, dass sie die vielen angeschossenen und abstürzenden Flugzeuge nur marginal wahrnahmen. Dieses Flugzeug war eines davon."
6907,15th USAAF,P-38,43-28626,-,82nd Fighter,97th Fighter,Aldridge,16.07.1944,Kollision,,Wien,,nördl. Kapuvar,Andau,Andau,Österreich,Burgenland,,Die P-38 von Aldridge kollidierte mit einer anderen P-38. Beide Flugzeuge stürzten brennend zu Boden. Der Pilot konnte sich retten.
7111,15th USAAF,B-24H,42-52502,-,464,779,Williams,16.07.1944,Jäger,10:46,Wiener Neudorf,"47°57'N, 16°45'E",Neusiedlersee,Andau,Tadten,Österreich,Burgenland,,"Die Maschine wurde von 9 deutschen Jägern angegriffen und in Brand geschossen (1. Triebwerk). Als sich das Flugezug zur Seite neigte, brach eine Tragfläche ab. Die Maschine begann sofort zu trudeln."
